RUN,NB.bcl,Read.Length,NB.sample
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240122_A00514_1677_BHW7FVDRX3/,444,101,278
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240124_A00514_1680_BHW3NGDRX3/,444,101,8
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240124_A00514_1681_AH55VVDSXC/,1744,101,96
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240129_A00514_1684_AHWGKJDSX7/,1104,28,23
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240129_A00514_1685_BHW77VDRX3/,242,101,16
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240131_A00514_1688_AHWT2NDRX3/,888,101,27
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240131_A00514_1689_BHWCC2DRX3/,644,151,17
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240205_A00514_1692_AHWGN3DRX3/,118,51,12
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240207_A00514_1693_AH3Y3FDSXC/,1104,28,18
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240207_A00514_1694_BHWVW7DRX3/,872,101,17
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240208_A00514_1695_AH2MMTDRX5/,928,100,16
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240212_A00514_1698_BHWH7WDRX3/,196,28,12
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240212_A00514_1699_AHWHL5DRX3/,464,100,16
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240214_A00514_1702_AH5HC7DSXC/,1744,101,96
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240214_A00514_1703_BH22CFDRX5/,436,101,78
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240219_A00514_1706_AH2M7CDRX5/,872,101,59
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240219_A00514_1707_BHT3YVDMXY/,872,101,84
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240226_A00514_1711_BH22GLDRX5/,458,76,8
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240228_A00514_1713_BH5YWWDSXC/,1104,28,28
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240228_A00514_1714_AHYMMLDRX3/,242,101,96
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240229_A00514_1715_AHY37CDRX3/,872,101,48
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240229_A00514_1716_BHT3YMDMXY/,872,101,48
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240306_A00514_1721_AHYHLCDRX3/,888,101,1536
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240306_A00514_1722_BHTJJWDMXY/,888,101,56
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240307_A00514_1723_AH22FJDRX5/,436,101,48
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240311_A00514_1726_AH2JCVDRX5/,168,76,13
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240311_A00514_1727_BH2KHNDRX5/,872,101,55
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240312_A00514_1729_AH2JCKDRX5/,436,101,8
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240313_A00514_1730_BH2LCWDRX5/,888,101,18
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240313_A00514_1731_AHTGCFDMXY/,872,101,8
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240314_A00514_1732_AH32VYDRX5/,392,28,12
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240318_A00514_1735_AH33H2DRX5/,888,101,45
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240318_A00514_1736_BH3KGGDRX5/,444,101,217
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240320_A00514_1738_AH3LK3DRX5/,118,51,15
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240328_A00514_1743_BH3JJCDRX5/,118,51,15
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240329_A00514_1745_BH5YMLDSXC/,1744,101,261
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240403_A00514_1748_AH722HDSXC/,1104,28,21
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240403_A00514_1749_BH3MWWDRX5/,444,101,320
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240408_A00514_1752_AHTGC5DMXY/,872,101,108
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240416_A00514_1756_BH52LJDRX5/,436,101,84
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240416_A00514_1757_AH53VLDRX5/,264,50,16
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240422_A00514_1760_AH37CTDRX5/,888,101,71
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240424_A00514_1762_AH3777DRX5/,392,28,22
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240424_A00514_1763_BHTN7FDMXY/,888,101,54
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240425_A00514_1765_BH3F3VDRX5/,872,101,143
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240426_A00514_1766_AH5YN5DSXC/,1744,101,96
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240426_A00514_1767_BHTYVNDMXY/,872,101,47
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240429_A00514_1769_AH3C7FDRX5/,872,101,47
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240430_A00514_1770_BH53WFDRX5/,226,43,4
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240502_A00514_1771_AH32NYDRX5/,872,101,29
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240507_A00514_1774_AH55MKDRX5/,436,101,16
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240507_A00514_1775_BH7GG3DSXC/,1744,101,96
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240514_A00514_1778_AH573HDRX5/,276,28,3
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240515_A00514_1779_BH32N5DRX5/,872,101,49
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240515_A00514_1780_AH5GM2DRX5/,636,151,2
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240522_A00514_1784_AHTY2FDMXY/,552,28,15
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240527_A00514_1787_AH333LDRX5/,872,101,48
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240529_A00514_1788_AHC72KDRX5/,872,101,41
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240603_A00514_1793_BH5HNFDRX5/,444,101,768
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240604_A00514_1794_AH5YW5DRX5/,888,101,1536
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240604_A00514_1795_BHF2GCDRX5/,1272,151,112
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240606_A00514_1796_AHFK7TDSXC/,1104,28,20
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/240606_A00514_1797_BHF2CJDRX5/,872,101,53
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/MyRun/,0,,0
/data/transfert/Illumina/DARWIN_NOVASEQ/DARWIN_CDR/Sample_Sheet/,0,,0
